id,country,mode,fulfill,incoterm,product,classification,vendor,molecule,year,quantity,item_value,unit_price,weight_kg,freight_cost,freight_per_kg,freight_pct_value,landed_cost,delivery_variance_days,on_time,weight_band,benchmark_freight_per_kg,price_index,anomaly_score,reason
1,Côte d'Ivoire,Air,Direct Drop,EXW,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test",2006,19,551.0,0.97,13.0,780.34,60.0262,141.6225,1331.34,0,True,XS,30.3862,1.9754,0.6808,Freight > 25% of item value
3,Vietnam,Air,Direct Drop,EXW,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,2006,1000,6200.0,0.03,358.0,4521.5,12.6299,72.9274,10721.5,0,True,S,12.3749,1.0206,0.0204,Freight > 25% of item value
4,Côte d'Ivoire,Air,Direct Drop,FCA,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",2006,500,40000.0,0.8,171.0,1653.78,9.6712,4.1344,41653.78,0,True,S,12.3749,0.7815,0.2465,Peer deviation
15,Vietnam,Air,Direct Drop,EXW,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,2006,31920,127360.8,0.07,1855.0,16007.06,8.6291,12.5683,143367.86,0,True,L,7.9081,1.0912,0.0873,Peer deviation
16,Vietnam,Air,Direct Drop,EXW,ARV,Adult,Aurobindo Pharma Limited,Stavudine,2006,38000,121600.0,0.05,7590.0,45450.08,5.9882,37.3767,167050.08,0,True,XXL,3.5132,1.7045,0.5333,Freight > 25% of item value
23,Nigeria,Air,Direct Drop,EXW,ARV,Pediatric,Aurobindo Pharma Limited,Zidovudine,2006,416,2225.6,0.02,504.0,5920.42,11.7469,266.0146,8146.02,0,True,M,8.576,1.3697,0.3146,Freight > 25% of item value
45,Tanzania,Air,Direct Drop,EXW,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,2006,16667,60834.55,0.06,1478.0,6212.41,4.2033,10.212,67046.96,0,True,L,7.9081,0.5315,0.632,Peer deviation
61,Zambia,Air,Direct Drop,EXW,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit",2007,2500,100000.0,2.0,853.0,13569.49,15.908,13.5695,113569.49,0,True,M,8.576,1.8549,0.6179,Peer deviation
64,Rwanda,Air,Direct Drop,EXW,ARV,Adult,CIPLA LIMITED,Lamivudine/Zidovudine,2007,10000,99800.0,0.17,7416.0,64179.42,8.6542,64.308,163979.42,0,True,XXL,3.5132,2.4634,0.9015,Freight/kg > 2x peer lane
65,Haiti,Air,Direct Drop,EXW,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",2007,750,60000.0,0.8,256.0,1760.32,6.8762,2.9339,61760.32,0,True,S,12.3749,0.5557,0.5876,Peer deviation
80,Rwanda,Air,Direct Drop,EXW,HRDT,HIV test,Premier Medical Corporation Ltd.,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit",2007,2000,33000.0,0.55,710.0,3120.7,4.3954,9.4567,36120.7,0,True,M,8.576,0.5125,0.6684,Peer deviation
81483,Vietnam,Air,Direct Drop,EXW,ARV,Adult,CIPLA LIMITED,Zidovudine,2012,525,3465.0,0.11,34.0,807.47,23.7491,23.3036,4277.33,0,True,XS,30.3862,0.7816,0.2464,Peer deviation
87,Tanzania,Air,Direct Drop,CIP,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Didanosine,2007,712,8964.08,0.06,162.0,912.96,5.6356,10.1846,9877.04,0,True,S,12.3749,0.4554,0.7866,Peer deviation
92,Nigeria,Air,Direct Drop,EXW,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",2007,1000,80000.0,0.8,341.0,2682.47,7.8665,3.3531,82810.47,0,True,S,12.3749,0.6357,0.4531,Peer deviation
96,Nigeria,Air,Direct Drop,EXW,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",2007,7500,202500.0,1.35,2278.0,15893.71,6.977,7.8487,218393.71,0,True,L,7.9081,0.8823,0.1253,Peer deviation
115,Vietnam,Air,Direct Drop,EXW,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,2007,1000,1920.0,0.01,941.0,4193.49,4.4564,218.4109,6116.56,0,True,M,8.576,0.5196,0.6546,Freight > 25% of item value
116,Vietnam,Air,Direct Drop,FCA,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,2007,500,41095.0,0.68,117.0,1767.38,15.1058,4.3007,42928.13,0,True,S,12.3749,1.2207,0.1994,Peer deviation
130,Haiti,Air,Direct Drop,EXW,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets",2007,750,53992.5,0.72,171.0,3518.38,20.5753,6.5164,57597.27,8,False,S,12.3749,1.6627,0.5084,Peer deviation
134,Haiti,Air,Direct Drop,EXW,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",2007,25,8750.0,3.5,60.0,3097.85,51.6308,35.404,11861.85,0,True,XS,30.3862,1.6992,0.5301,Freight > 25% of item value
138,Tanzania,Air,Direct Drop,EXW,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",2007,10000,200000.0,0.8,3335.0,27869.74,8.3567,13.9349,228189.74,0,True,XL,5.2536,1.5907,0.4642,Peer deviation
139,Tanzania,Air,Direct Drop,EXW,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",2007,10000,200000.0,0.8,3335.0,28461.1,8.5341,14.2306,228781.1,0,True,XL,5.2536,1.6244,0.4852,Peer deviation
140,Tanzania,Air,Direct Drop,EXW,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",2007,10000,200000.0,0.8,3335.0,28359.8,8.5037,14.1799,228679.8,0,True,XL,5.2536,1.6187,0.4816,Peer deviation
161,Ethiopia,Air,Direct Drop,EXW,ARV,Adult,Aurobindo Pharma Limited,Stavudine,2007,64000,99200.0,0.03,4228.0,12237.61,2.8944,12.3363,111596.33,0,True,XL,5.2536,0.5509,0.5961,Peer deviation
176,Nigeria,Air,Direct Drop,EXW,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit",2007,10000,270000.0,1.35,3263.0,20885.78,6.4008,7.7355,291317.78,0,True,XL,5.2536,1.2184,0.1975,Peer deviation
269,Vietnam,Air,Direct Drop,EXW,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.",Tenofovir Disoproxil Fumarate,2008,1000,17000.0,0.57,76.0,2282.57,30.0338,13.4269,19309.77,0,True,XS,30.3862,0.9884,0.0117,Peer deviation
270,Vietnam,Air,Direct Drop,EXW,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Zidovudine,2008,400,3352.0,0.14,23.0,2149.05,93.437,64.1125,5506.41,0,True,XS,30.3862,3.075,1.1233,Freight/kg > 2x peer lane
284,Rwanda,Air,Direct Drop,EXW,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",2008,1500,15.0,0.0,99.0,0.75,0.0076,5.0,15.77,0,True,XS,30.3862,0.0002,4.6052,Peer deviation
391,Côte d'Ivoire,Air,Direct Drop,EXW,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"HIV, Genie II HIV-1/HIV-2 Kit",2008,476,36176.0,1.9,509.0,5446.51,10.7004,15.0556,41680.39,0,True,M,8.576,1.2477,0.2213,Peer deviation
392,Côte d'Ivoire,Air,Direct Drop,EXW,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",2009,659,13180.0,0.8,206.0,2656.12,12.8938,20.1527,15861.95,0,True,S,12.3749,1.0419,0.0411,Peer deviation
